title,author,genre,description
To Kill a Mockingbird,Harper Lee,Fiction,"To Kill a Mockingbird is a novel by Harper Lee published in 1960. It was immediately successful, winning the Pulitzer Prize, and has become a classic of modern American literature. The plot and characters are loosely based on the author's observations of her family, her neighbors and an event that occurred near her hometown of Monroeville, Alabama, in 1936, when she was 10 years old."
1984,George Orwell,Fiction,"1984 is a dystopian novel by George Orwell published in 1949. The novel is set in the year 1984 when most of the world population have become victims of perpetual war, omnipresent government surveillance and propaganda. In the novel, Great Britain (""Airstrip One"") has become a province of a superstate named Oceania."
Pride and Prejudice,Jane Austen,Romance,"Pride and Prejudice is a romantic novel by Jane Austen, first published in 1813. The story charts the emotional development of the protagonist, Elizabeth Bennet, who learns the error of making hasty judgments and comes to appreciate the difference between the superficial and the essential."
The Catcher in the Rye,J.D. Salinger,Fiction,"The Catcher in the Rye is a novel by J. D. Salinger, partially published in serial form in 1945â€“1946 and as a novel in 1951. A classic novel originally published for adults, it has since become popular among adolescent readers for its themes of teenage angst and alienation."
The Great Gatsby,F. Scott Fitzgerald,Fiction,"The Great Gatsby is a 1925 novel by American writer F. Scott Fitzgerald. Set in the Jazz Age on Long Island, near New York City, the novel depicts narrator Nick Carraway's interactions with mysterious millionaire Jay Gatsby and Gatsby's obsession with Nick's cousin Daisy Buchanan."
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,"Harry Potter and the Philosopher's Stone is a fantasy novel written by British author J.K. Rowling. It is the first novel in the Harry Potter series and Rowling's debut novel, first published in 1997 by Bloomsbury. It follows Harry Potter, a young wizard who discovers his magical heritage on his eleventh birthday."
The Hobbit,J.R.R. Tolkien,Fantasy,"The Hobbit, or There and Back Again is a children's fantasy novel by English author J. R. R. Tolkien. It was published on 21 September 1937 to wide critical acclaim, being nominated for the Carnegie Medal and awarded a prize from the New York Herald Tribune for best juvenile fiction."
The Lord of the Rings,J.R.R. Tolkien,Fantasy,"The Lord of the Rings is an epic high-fantasy novel written by English author and scholar J. R. R. Tolkien. The story began as a sequel to Tolkien's 1937 fantasy novel The Hobbit, but eventually developed into a much larger work."
The Da Vinci Code,Dan Brown,Mystery,"The Da Vinci Code is a mystery thriller novel by Dan Brown. It is his second novel to feature Harvard symbologist Robert Langdon. The novel's plot follows Harvard symbologist Robert Langdon and cryptologist Sophie Neveu after a murder in the Louvre Museum in Paris causes them to become involved in a battle between the Priory of Sion and Opus Dei over the possibility of Jesus Christ having been married to Mary Magdalene."
Gone with the Wind,Margaret Mitchell,Historical Fiction,"Gone with the Wind is a novel by American writer Margaret Mitchell, first published in 1936. The story is set in Clayton County and Atlanta, both in Georgia, during the American Civil War and Reconstruction Era. It depicts the struggles of young Scarlett O'Hara, the spoiled daughter of a well-to-do plantation owner, who must use every means at her disposal to claw her way out of poverty following the destruction of her family's cotton farm through war, famine, and death, and the Union Army's capture of Atlanta."
The Hunger Games,Suzanne Collins,Science Fiction,"The Hunger Games is a dystopian novel by the American writer Suzanne Collins. It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America. The Capitol, a highly advanced metropolis, exercises political control over the rest of the nation."
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,"The Girl with the Dragon Tattoo is a psychological thriller novel by Swedish author and journalist Stieg Larsson. It is the first book of the Millennium series."
The Alchemist,Paulo Coelho,Fiction,"The Alchemist is a novel by Brazilian author Paulo Coelho that was first published in 1988. Originally written in Portuguese, it became an international bestseller translated into some 70 languages as of 2016."
The Adventures of Huckleberry Finn,Mark Twain,Adventure,"Adventures of Huckleberry Finn is a novel by Mark Twain, first published in the United Kingdom in December 1884 and in the United States in February 1885. It is set in the 1830s and 1840s in the town of St. Petersburg, Missouri, which lies on the banks of the Mississippi River."
The Chronicles of Narnia,C.S. Lewis,Fantasy,"The Chronicles of Narnia is a series of seven fantasy novels by C. S. Lewis. It is considered a classic of children's literature and is the author's best-known work, having sold over 100 million copies in 47 languages."
The Fault in Our Stars,John Green,Young Adult,"The Fault in Our Stars is a novel by John Green. It is his fourth solo novel, and sixth novel overall. It was published on January 10, 2012."
The Shining,Stephen King,Horror,"The Shining is a horror novel by American author Stephen King. Published in 1977, it is King's third published novel and first hardback bestseller, and the success of the book firmly established King as a preeminent author in the horror genre."
The Martian,Andy Weir,Science Fiction,"The Martian is a 2011 science fiction novel written by Andy Weir. It was his debut novel under his own name. It was originally self-published in 2011; Crown Publishing purchased the rights and re-released it in 2014."
The Help,Kathryn Stockett,Historical Fiction,"The Help is a 2009 novel by American author Kathryn Stockett. The story is about African Americans working in white households in Jackson, Mississippi, during the early 1960s."
The Road,Cormac McCarthy,Post apocalyptic Fiction,"The Road is a 2006 post-apocalyptic novel by American writer Cormac McCarthy. The book details the journey of a father and his young son over a period of several months, across a landscape blasted by an unspecified cataclysm that has destroyed most of civilization and, in the intervening years, almost all life on Earth."
The Stand,Stephen King,Post apocalyptic Fiction,"The Stand is a post-apocalyptic dark fantasy novel written by American author Stephen King and first published in 1978."
